id,证券代码,证券简称,所属行业名称,无形资产,研发支出合计,研发支出总额占营业收入比例,净利润,研发人员数量,政府补助,资产负债率,总资产,流动比率,营业收入,净利润,销售净利率,流动资产周转率,研发人员数量占比,技术人员人数,新增专利数,新增发明专利数,新增新型专利,新增外观专利
50,000488.SZ,晨鸣纸业,材料,1462706060.60 ,649368119.76 ,3.21 ,2104860458.30 ,1108.00 ,244716579.78 ,77.86 ,37.20 ,0.72 ,5.71 ,364.33 ,10.42 ,0.42 ,9.32 ,1911.00 ,0.00 ,0.00 ,0.00 ,0.00 
51,000510.SZ,新金路,材料,61253939.86 ,70780000.00 ,3.05 ,64730229.04 ,66.00 ,11186128.88 ,30.04 ,-3.61 ,0.94 ,13.96 ,-34.74 ,4.27 ,4.78 ,2.70 ,288.00 ,0.00 ,0.00 ,0.00 ,0.00 
52,000510.SZ,新金路,材料,63991057.91 ,65770000.00 ,3.18 ,102865966.19 ,66.00 ,6318850.68 ,35.63 ,-1.09 ,0.99 ,19.75 ,143.25 ,4.97 ,2.13 ,2.60 ,336.00 ,0.00 ,0.00 ,0.00 ,0.00 
53,000510.SZ,新金路,材料,60946666.84 ,51260000.00 ,2.97 ,42288039.55 ,70.00 ,6680868.94 ,41.61 ,13.55 ,0.79 ,12.65 ,-22.15 ,2.45 ,1.59 ,2.20 ,272.00 ,0.00 ,0.00 ,0.00 ,0.00 
54,000510.SZ,新金路,材料,62513780.24 ,46050000.00 ,3.00 ,54320911.86 ,67.00 ,7347582.91 ,35.89 ,-14.32 ,0.55 ,-5.30 ,730.94 ,3.54 ,1.36 ,2.00 ,285.00 ,0.00 ,0.00 ,0.00 ,0.00 
55,000510.SZ,新金路,材料,64369062.11 ,51150000.00 ,3.16 ,6537261.57 ,67.00 ,8749985.45 ,48.40 ,-14.48 ,0.56 ,-21.06 ,104.47 ,0.40 ,1.19 ,2.40 ,343.00 ,0.00 ,0.00 ,0.00 ,0.00 
56,000525.SZ,红太阳,材料,616768948.89 ,107813069.94 ,2.34 ,-336839929.92 ,717.00 ,55603710.14 ,63.96 ,12.72 ,0.94 ,-5.28 ,-32.97 ,9.98 ,0.64 ,21.12 ,811.00 ,0.00 ,0.00 ,0.00 ,0.00 
57,000525.SZ,红太阳,材料,570992908.74 ,167484218.62 ,2.83 ,637190450.08 ,811.00 ,101046345.25 ,64.49 ,7.56 ,0.83 ,16.49 ,-11.83 ,10.78 ,,22.53 ,797.00 ,37.00 ,37.00 ,0.00 ,0.00 
58,000525.SZ,红太阳,材料,472010902.94 ,155336337.51 ,3.12 ,722692152.63 ,797.00 ,116269508.13 ,64.25 ,18.27 ,0.81 ,43.37 ,469.08 ,14.25 ,,23.18 ,721.00 ,97.00 ,97.00 ,0.00 ,0.00 
59,000525.SZ,红太阳,材料,456137725.31 ,72220685.94 ,2.04 ,126993710.22 ,721.00 ,81689342.19 ,54.13 ,27.76 ,0.91 ,-22.36 ,-3.88 ,3.59 ,,24.18 ,711.00 ,4.00 ,4.00 ,0.00 ,0.00 
60,000525.SZ,红太阳,材料,417715684.56 ,71731467.43 ,1.57 ,132124299.70 ,711.00 ,54196537.05 ,51.90 ,-23.08 ,0.77 ,-33.11 ,-67.41 ,2.90 ,,24.94 ,943.00 ,1.00 ,1.00 ,0.00 ,0.00 
61,000545.SZ,金浦钛业,材料,49880655.30 ,63400644.24 ,3.36 ,25010953.37 ,136.00 ,53144466.16 ,34.01 ,3.74 ,1.27 ,-7.35 ,-37.16 ,4.32 ,1.49 ,13.74 ,178.00 ,0.00 ,0.00 ,0.00 ,0.00 
62,000545.SZ,金浦钛业,材料,51186150.12 ,62338957.26 ,3.36 ,102044942.78 ,138.00 ,16672024.24 ,34.33 ,13.60 ,1.24 ,6.53 ,-38.46 ,5.50 ,0.66 ,13.72 ,186.00 ,0.00 ,0.00 ,0.00 ,0.00 
63,000545.SZ,金浦钛业,材料,52758451.54 ,62596658.56 ,3.60 ,165827783.16 ,135.00 ,17388998.49 ,27.19 ,2.09 ,1.97 ,66.43 ,37.27 ,9.52 ,0.57 ,12.57 ,288.00 ,0.00 ,0.00 ,0.00 ,0.00 
64,000545.SZ,金浦钛业,材料,66597889.53 ,27154366.96 ,2.60 ,120803780.18 ,71.00 ,17029246.41 ,29.41 ,6.78 ,1.84 ,47.36 ,-7.91 ,11.55 ,0.42 ,6.59 ,261.00 ,0.00 ,0.00 ,0.00 ,0.00 
65,000545.SZ,金浦钛业,材料,50381111.62 ,29499941.92 ,4.16 ,131182214.16 ,75.00 ,43705755.52 ,30.09 ,19.41 ,1.97 ,-3.41 ,214.60 ,18.48 ,0.50 ,6.82 ,290.00 ,0.00 ,0.00 ,0.00 ,0.00 
66,000546.SZ,金圆股份,材料,334196800.47 ,250574646.83 ,3.07 ,578931551.50 ,368.00 ,122931388.97 ,50.27 ,10.44 ,0.95 ,-9.62 ,9.36 ,7.16 ,2.27 ,10.81 ,404.00 ,0.00 ,0.00 ,0.00 ,0.00 
67,000546.SZ,金圆股份,材料,261870843.27 ,246339499.49 ,3.09 ,445228398.04 ,337.00 ,64704692.26 ,49.38 ,5.32 ,1.01 ,57.17 ,10.77 ,5.58 ,2.15 ,18.85 ,361.00 ,0.00 ,0.00 ,0.00 ,0.00 
68,000546.SZ,金圆股份,材料,270518394.96 ,116053876.42 ,2.29 ,401941022.30 ,101.00 ,42830054.99 ,51.61 ,56.07 ,1.03 ,134.43 ,22.61 ,7.92 ,2.01 ,10.52 ,296.00 ,8.00 ,8.00 ,0.00 ,0.00 
69,000546.SZ,金圆股份,材料,122357612.27 ,,,327812001.14 ,,4172025.83 ,54.49 ,16.85 ,0.95 ,16.02 ,12.94 ,15.15 ,1.87 ,,259.00 ,0.00 ,0.00 ,0.00 ,0.00 
70,000546.SZ,金圆股份,材料,98459898.18 ,,,290250387.58 ,,5826579.85 ,54.33 ,6.96 ,0.75 ,35.80 ,18.48 ,15.56 ,1.81 ,,458.00 ,0.00 ,0.00 ,0.00 ,0.00 
71,000553.SZ,安道麦A,材料,5835785000.00 ,437802000.00 ,1.59 ,277041000.00 ,269.00 ,27410000.00 ,50.93 ,10.18 ,2.07 ,4.53 ,-75.09 ,4.32 ,1.10 ,3.47 ,72.00 ,6.00 ,6.00 ,0.00 ,0.00 
72,000553.SZ,安道麦A,材料,5677388000.00 ,441897000.00 ,1.73 ,2402462000.00 ,254.00 ,21089000.00 ,47.96 ,8.07 ,2.18 ,7.54 ,55.41 ,9.38 ,,3.84 ,90.00 ,0.00 ,0.00 ,0.00 ,0.00 
73,000553.SZ,安道麦A,材料,4036588000.00 ,360403000.00 ,1.51 ,1545879000.00 ,241.00 ,14628000.00 ,52.60 ,8.55 ,2.07 ,1184.26 ,2175.28 ,6.49 ,,3.63 ,117.00 ,3.00 ,3.00 ,0.00 ,0.00 
74,000553.SZ,安道麦A,材料,207764086.65 ,8741538.25 ,0.47 ,-74489986.54 ,20.00 ,5417800.88 ,32.83 ,0.26 ,1.85 ,-14.53 ,-152.47 ,-4.02 ,,1.16 ,123.00 ,4.00 ,4.00 ,0.00 ,0.00 
75,000553.SZ,安道麦A,材料,165569924.44 ,7404961.06 ,0.34 ,141955597.89 ,20.00 ,5585426.21 ,29.55 ,1.46 ,1.87 ,-30.70 ,-71.11 ,6.54 ,,1.07 ,260.00 ,2.00 ,2.00 ,0.00 ,0.00 
76,000565.SZ,渝三峡A,材料,20670444.93 ,21514208.19 ,4.55 ,64906842.59 ,157.00 ,7979121.77 ,27.07 ,0.63 ,2.58 ,-34.37 ,8.48 ,12.75 ,0.67 ,17.16 ,152.00 ,5.00 ,5.00 ,0.00 ,0.00 
77,000565.SZ,渝三峡A,材料,21208010.25 ,21445145.94 ,3.40 ,45221577.87 ,142.00 ,2555014.42 ,26.54 ,-6.51 ,3.15 ,-82.51 ,-44.26 ,7.16 ,0.99 ,17.05 ,136.00 ,4.00 ,4.00 ,0.00 ,0.00 
78,000565.SZ,渝三峡A,材料,21745575.57 ,19214021.69 ,0.53 ,81125365.92 ,153.00 ,2130385.71 ,33.44 ,17.89 ,1.75 ,53.10 ,-63.70 ,2.25 ,0.78 ,17.65 ,190.00 ,14.00 ,14.00 ,0.00 ,0.00 
79,000565.SZ,渝三峡A,材料,22283140.89 ,18406353.43 ,0.78 ,223481233.43 ,161.00 ,1088741.68 ,26.28 ,25.63 ,2.42 ,263.59 ,54.58 ,9.48 ,0.97 ,17.71 ,146.00 ,2.00 ,2.00 ,0.00 ,0.00 
80,000565.SZ,渝三峡A,材料,22821614.54 ,18163977.16 ,2.80 ,144573659.62 ,146.00 ,1744250.15 ,26.70 ,11.63 ,2.09 ,19.91 ,241.50 ,22.30 ,0.50 ,13.51 ,330.00 ,2.00 ,2.00 ,0.00 ,0.00 
81,000592.SZ,平潭发展,材料,103286948.92 ,989471.53 ,0.10 ,18068309.66 ,26.00 ,9252159.17 ,10.30 ,-22.35 ,8.27 ,-1.63 ,-19.03 ,2.28 ,0.28 ,2.31 ,49.00 ,,,,
82,000592.SZ,平潭发展,材料,183469199.50 ,889436.25 ,0.10 ,31412563.04 ,14.00 ,13594293.55 ,21.39 ,-0.94 ,3.78 ,10.26 ,557.03 ,3.36 ,0.30 ,1.36 ,102.00 ,,,,
83,000592.SZ,平潭发展,材料,144922736.29 ,1100637.92 ,0.13 ,-6873247.92 ,14.00 ,6855230.12 ,19.49 ,4.18 ,4.34 ,7.91 ,-228.50 ,-0.81 ,0.43 ,1.19 ,99.00 ,,,,
84,000592.SZ,平潭发展,材料,33268722.22 ,1322424.25 ,0.17 ,5348702.83 ,14.00 ,12876319.44 ,16.31 ,9.81 ,6.22 ,-18.37 ,-87.20 ,0.68 ,0.46 ,1.19 ,97.00 ,,,,
85,000592.SZ,平潭发展,材料,33954321.50 ,1241929.28 ,0.13 ,41790591.82 ,14.00 ,12813710.28 ,9.80 ,77.03 ,9.79 ,11.38 ,-45.59 ,4.34 ,2.32 ,2.15 ,107.00 ,,,,
86,000603.SZ,盛达资源,材料,476441204.88 ,,,560023901.06 ,,947108.64 ,38.85 ,11.86 ,2.23 ,127.66 ,63.91 ,20.21 ,2.95 ,,146.00 ,,,,
87,000603.SZ,盛达资源,材料,287125541.89 ,,,557484266.80 ,,720902.88 ,42.08 ,-12.10 ,0.74 ,119.14 ,38.42 ,23.21 ,0.70 ,,80.00 ,,,,
88,000603.SZ,盛达资源,材料,206754931.49 ,,,402745981.04 ,,151500.00 ,17.60 ,11.56 ,1.87 ,59.68 ,21.52 ,36.75 ,0.83 ,,65.00 ,,,,
89,000603.SZ,盛达资源,材料,212076976.52 ,,,331431302.03 ,,182700.00 ,6.85 ,71.45 ,5.79 ,-16.74 ,-20.61 ,48.29 ,0.53 ,,42.00 ,,,,
90,000603.SZ,盛达资源,材料,109049597.88 ,,,417473135.15 ,,,25.29 ,25.20 ,0.63 ,11.21 ,10.38 ,50.64 ,0.82 ,,50.00 ,,,,
91,000612.SZ,焦作万方,材料,24348370.16 ,18755.66 ,0.00 ,106643086.76 ,97.00 ,2378724.55 ,41.09 ,-4.18 ,0.52 ,6.79 ,75.14 ,-1.48 ,3.47 ,3.53 ,65.00 ,0.00 ,0.00 ,0.00 ,0.00 
92,000612.SZ,焦作万方,材料,23793677.60 ,92810.20 ,0.00 ,-442105544.66 ,97.00 ,2319191.08 ,43.24 ,-0.28 ,0.55 ,-2.15 ,-351.58 ,-9.01 ,2.37 ,3.33 ,89.00 ,0.00 ,0.00 ,0.00 ,0.00 
93,000612.SZ,焦作万方,材料,28313636.27 ,75280.00 ,0.00 ,175731126.68 ,125.00 ,4090462.36 ,36.90 ,2.50 ,0.54 ,27.78 ,77.11 ,3.50 ,2.27 ,3.21 ,89.00 ,0.00 ,0.00 ,0.00 ,0.00 
94,000612.SZ,焦作万方,材料,32833594.65 ,405268.53 ,0.01 ,99223616.85 ,128.00 ,10660724.24 ,37.89 ,-15.60 ,0.91 ,-15.72 ,258.70 ,2.53 ,2.46 ,3.25 ,94.00 ,0.00 ,0.00 ,0.00 ,0.00 
95,000612.SZ,焦作万方,材料,37353553.31 ,542823.95 ,0.01 ,-62522960.53 ,90.00 ,5665761.74 ,44.79 ,-5.67 ,1.25 ,-11.26 ,-117.54 ,-1.34 ,2.73 ,2.17 ,89.00 ,4.00 ,0.00 ,0.00 ,4.00 
96,000629.SZ,攀钢钒钛,材料,311113993.44 ,466254082.79 ,3.54 ,1456479557.12 ,352.00 ,18695490.50 ,29.25 ,33.02 ,2.02 ,7.19 ,2.28 ,16.75 ,2.20 ,10.21 ,140.00 ,36.00 ,22.00 ,14.00 ,0.00 
97,000629.SZ,攀钢钒钛,材料,318941616.64 ,537640729.44 ,3.55 ,3163069785.00 ,342.00 ,33937874.83 ,35.18 ,13.29 ,1.58 ,60.68 ,243.85 ,20.86 ,0.77 ,10.09 ,147.00 ,21.00 ,13.00 ,8.00 ,0.00 
98,000629.SZ,攀钢钒钛,材料,329007412.66 ,243413979.03 ,2.58 ,919902345.98 ,348.00 ,12044529.45 ,56.66 ,8.86 ,0.82 ,-11.07 ,114.00 ,9.75 ,0.71 ,10.24 ,214.00 ,25.00 ,15.00 ,10.00 ,0.00 
99,000629.SZ,攀钢钒钛,材料,293130051.61 ,396556833.80 ,3.74 ,-6570227864.29 ,378.00 ,50623187.07 ,62.50 ,-82.82 ,0.71 ,-7.07 ,-171.22 ,-61.92 ,0.87 ,8.86 ,756.00 ,0.00 ,0.00 ,0.00 ,0.00 
100,000629.SZ,攀钢钒钛,材料,7397075147.60 ,383879862.90 ,3.36 ,-2422458242.70 ,1020.00 ,39434422.46 ,82.59 ,6.87 ,0.30 ,-31.96 ,59.43 ,-21.22 ,0.74 ,5.93 ,852.00 ,0.00 ,0.00 ,0.00 ,0.00 
101,000630.SZ,铜陵有色,材料,2391633523.64 ,1495557462.45 ,1.61 ,1017063488.86 ,1523.00 ,164033493.00 ,59.82 ,-2.18 ,1.07 ,15.07 ,1.34 ,1.06 ,3.91 ,9.96 ,1124.00 ,107.00 ,73.00 ,34.00 ,0.00 
102,000630.SZ,铜陵有色,材料,2378126033.43 ,1139929301.46 ,1.35 ,980016244.41 ,1258.00 ,97519890.53 ,58.53 ,-1.89 ,1.11 ,2.62 ,32.22 ,1.16 ,1.19 ,7.20 ,1085.00 ,16.00 ,13.00 ,3.00 ,0.00 
103,000630.SZ,铜陵有色,材料,1880374376.08 ,1005824586.31 ,1.22 ,741198207.11 ,1229.00 ,118722553.75 ,61.13 ,7.18 ,0.94 ,-4.90 ,128.47 ,0.90 ,1.43 ,7.74 ,1103.00 ,12.00 ,9.00 ,3.00 ,0.00 
